ambulancer;bikeage_gr;bike_age;bike_dir;bike_injur;bike_pos;bike_race;bike_sex;city;county;crashalcoh;crashday;crash_loc;crash_mont;crash_time;crash_year;crsh_sevri;drvrage_gr;drvr_age;drvr_alc_d;drvr_estsp;drvr_injur;drvr_race;drvr_sex;excsspdind;hit_run;light_cond;locality;num_lanes;num_units;rd_charact;rd_class;rd_defects;rd_surface;rural_urba;speed_limi;weather;workzone_i
Yes;70;70;With Traffic;K: Killed;Travel Lane;White;Male;Carrboro;Orange;No;Saturday;Non-Intersection;July;10:12;2011;K: Killed;70;70;No;11-15 mph;O: No Injury;White;Male;No;No;Daylight;Urban (>70% Developed);Unknown;2.0;Straight - Level;State Secondary Route;None;Smooth Asphalt;Urban;20 - 25  MPH;Clear;No
No;20-24;24;With Traffic;C: Possible Injury;Travel Lane;White;Male;None - Rural Crash;Orange;No;Tuesday;Non-Intersection;February;17:11;2012;C: Possible Injury;Unknown;Unknown;Missing;6-10 mph;Unknown Injury;Unknown/Missing;Unknown;No;Yes;Daylight;Rural (<30% Developed);2 lanes;3.0;Straight - Level;State Secondary Route;None;Coarse Asphalt;Rural;40 - 45  MPH;Clear;No
Yes;25-29;26;With Traffic;B: Evident Injury;Travel Lane;Black;Male;Durham;Durham;No;Tuesday;Non-Intersection;February;19:15;2008;B: Evident Injury;Unknown;Unknown;Missing;41-45 mph;Unknown Injury;Unknown/Missing;Unknown;No;Yes;Dark - Roadway Not Lighted;Mixed (30% To 70% Developed);2 lanes;2.0;Straight - Level;State Secondary Route;None;Smooth Asphalt;Urban;40 - 45  MPH;Clear;No
Yes;30-39;33;With Traffic;B: Evident Injury;Travel Lane;White;Female;Carrboro;Orange;No;Sunday;Intersection;December;12:09;2008;B: Evident Injury;70;70;No;16-20 mph;O: No Injury;White;Female;No;No;Daylight;Urban (>70% Developed);2 lanes;2.0;Straight - Level;Local Street;None;Smooth Asphalt;Urban;30 - 35  MPH;Clear;No
Yes;40-49;41;With Traffic;B: Evident Injury;Travel Lane;White;Female;None - Rural Crash;Durham;No;Wednesday;Intersection;September;8:40;2011;B: Evident Injury;70;70;No;6-10 mph;O: No Injury;White;Male;No;No;Daylight;Rural (<30% Developed);2 lanes;2.0;Straight - Grade;State Secondary Route;None;Smooth Asphalt;Rural;40 - 45  MPH;Clear;No
Yes;11-15;12;Facing Traffic;B: Evident Injury;Sidewalk / Crosswalk / Driveway Crossing;White;Male;Chapel Hill;Orange;No;Tuesday;Intersection;March;15:24;2008;B: Evident Injury;40-49;49;No;0-5 mph;O: No Injury;White;Male;No;No;Daylight;Urban (>70% Developed);2 lanes;2.0;Straight - Bottom;Local Street;None;Smooth Asphalt;Urban;20 - 25  MPH;Clear;No
No;Unknown;0;Facing Traffic;Unknown Injury;Travel Lane;Unknown/Missing;Unknown;Chapel Hill;Orange;No;Monday;Non-Intersection;April;18:27;2012;O: No Injury;25-29;27;No;31-35 mph;O: No Injury;White;Male;No;No;Daylight;Urban (>70% Developed);1 lane;2.0;Curve - Grade;Local Street;None;Smooth Asphalt;Urban;30 - 35  MPH;Clear;No
Yes;20-24;23;With Traffic;O: No Injury;Travel Lane;White;Female;Carrboro;Orange;No;Friday;Non-Intersection;August;20:06;2008;O: No Injury;50-59;57;No;6-10 mph;O: No Injury;White;Male;No;No;Dusk;Urban (>70% Developed);2 lanes;2.0;Straight - Level;Local Street;None;Coarse Asphalt;Urban;30 - 35  MPH;Clear;No
Yes;6-10;10;With Traffic;B: Evident Injury;Travel Lane;Black;Male;Chapel Hill;Orange;No;Thursday;Intersection;October;15:13;2010;B: Evident Injury;20-24;21;No;16-20 mph;O: No Injury;White;Male;No;No;Daylight;Rural (<30% Developed);2 lanes;2.0;Straight - Level;Local Street;None;Coarse Asphalt;Urban;20 - 25  MPH;Clear;No
Yes;40-49;45;With Traffic;C: Possible Injury;Travel Lane;White;Male;Durham;Durham;No;Friday;Non-Intersection;November;20:49;2013;C: Possible Injury;25-29;26;No;31-35 mph;O: No Injury;Black;Female;No;No;Dark - Roadway Not Lighted;Urban (>70% Developed);2 lanes;2.0;Straight - Level;Local Street;None;Coarse Asphalt;Urban;30 - 35  MPH;Cloudy;No
Yes;30-39;30;With Traffic;B: Evident Injury;Travel Lane;White;Male;Carrboro;Orange;Yes;Friday;Intersection;February;22:47;2008;B: Evident Injury;40-49;43;No;16-20 mph;O: No Injury;Asian;Male;No;No;Dark - Lighted Roadway;Urban (>70% Developed);3 lanes;2.0;Straight - Level;Local Street;None;Coarse Asphalt;Urban;20 - 25  MPH;Clear;No
Yes;20-24;21;Not Applicable;B: Evident Injury;Non-Roadway;White;Male;Chapel Hill;Orange;No;Saturday;Non-Roadway;June;22:54;2010;B: Evident Injury;50-59;55;No;Unknown;Unknown Injury;White;Male;No;No;Dark - Lighted Roadway;Urban (>70% Developed);Unknown;2.0;Straight - Level;Public Vehicular Area;None;Smooth Asphalt;Urban;20 - 25  MPH;Clear;No
Yes;16-19;19;Facing Traffic;B: Evident Injury;Sidewalk / Crosswalk / Driveway Crossing;White;Female;Chapel Hill;Orange;No;Friday;Intersection;April;13:55;2012;B: Evident Injury;60-69;60;No;Unknown;O: No Injury;White;Male;No;No;Daylight;Urban (>70% Developed);5 lanes;2.0;Straight - Grade;Local Street;None;Smooth Asphalt;Urban;20 - 25  MPH;Clear;No
Yes;30-39;39;Facing Traffic;C: Possible Injury;Travel Lane;Asian;Female;Chapel Hill;Orange;No;Thursday;Intersection;August;16:33;2011;C: Possible Injury;50-59;54;No;0-5 mph;O: No Injury;White;Male;No;No;Daylight;Mixed (30% To 70% Developed);4 lanes;2.0;Curve - Level;Local Street;None;Smooth Asphalt;Urban;20 - 25  MPH;Clear;No
Yes;11-15;13;With Traffic;B: Evident Injury;Travel Lane;Black;Male;Chapel Hill;Orange;No;Saturday;Non-Intersection;May;15:13;2009;B: Evident Injury;40-49;44;No;Unknown;O: No Injury;White;Female;No;No;Daylight;Urban (>70% Developed);4 lanes;2.0;Straight - Level;Local Street;None;Smooth Asphalt;Urban;20 - 25  MPH;Clear;No
Yes;70;70;Not Applicable;C: Possible Injury;Non-Roadway;White;Male;Chapel Hill;Orange;No;Tuesday;Non-Roadway;June;7:25;2009;C: Possible Injury;25-29;25;No;0-5 mph;O: No Injury;White;Female;No;No;Daylight;Urban (>70% Developed);Unknown;2.0;Straight - Level;Public Vehicular Area;None;Smooth Asphalt;Urban;Unknown;Clear;No
No;20-24;22;Facing Traffic;B: Evident Injury;Sidewalk / Crosswalk / Driveway Crossing;White;Male;Chapel Hill;Orange;No;Thursday;Intersection;May;16:23;2010;B: Evident Injury;50-59;54;No;6-10 mph;O: No Injury;White;Female;No;No;Daylight;Urban (>70% Developed);6 lanes;2.0;Straight - Level;NC Route;None;Smooth Asphalt;Urban;30 - 35  MPH;Clear;No
Yes;11-15;13;With Traffic;B: Evident Injury;Travel Lane;White;Male;Durham;Durham;No;Friday;Intersection;April;15:26;2008;B: Evident Injury;0-19;16;No;6-10 mph;O: No Injury;White;Female;No;No;Daylight;Urban (>70% Developed);8 lanes;2.0;Straight - Level;Local Street;None;Smooth Asphalt;Urban;30 - 35  MPH;Clear;No
No;25-29;29;With Traffic;C: Possible Injury;Bike Lane / Paved Shoulder;White;Female;Carrboro;Orange;No;Friday;Non-Intersection;September;17:58;2012;C: Possible Injury;0-19;16;No;0-5 mph;O: No Injury;White;Male;No;No;Daylight;Urban (>70% Developed);2 lanes;2.0;Straight - Level;Local Street;None;Coarse Asphalt;Urban;20 - 25  MPH;Clear;No
Yes;30-39;30;Facing Traffic;B: Evident Injury;Sidewalk / Crosswalk / Driveway Crossing;Black;Female;Chapel Hill;Orange;No;Friday;Intersection;April;18:33;2010;B: Evident Injury;30-39;35;No;6-10 mph;O: No Injury;White;Male;No;No;Daylight;Urban (>70% Developed);9 or more lanes;2.0;Straight - Grade;NC Route;None;Smooth Asphalt;Urban;20 - 25  MPH;Clear;No
Yes;50-59;54;Unknown;A: Disabling Injury;Travel Lane;White;Male;Carrboro;Orange;No;Monday;Intersection-Related;April;7:58;2011;A: Disabling Injury;40-49;49;No;16-20 mph;O: No Injury;White;Female;No;No;Daylight;Urban (>70% Developed);4 lanes;2.0;Curve - Level;NC Route;None;Smooth Asphalt;Urban;40 - 45  MPH;Cloudy;No
Yes;25-29;28;With Traffic;B: Evident Injury;Travel Lane;White;Female;Chapel Hill;Orange;No;Tuesday;Intersection;September;22:51;2011;B: Evident Injury;0-19;19;No;0-5 mph;O: No Injury;White;Male;No;No;Dark - Lighted Roadway;Urban (>70% Developed);4 lanes;2.0;Straight - Level;Local Street;None;Smooth Asphalt;Urban;20 - 25  MPH;Clear;No
Yes;30-39;35;With Traffic;C: Possible Injury;Bike Lane / Paved Shoulder;White;Male;Chapel Hill;Orange;Yes;Friday;Non-Intersection;May;16:03;2012;C: Possible Injury;20-24;22;Yes;16-20 mph;O: No Injury;White;Male;No;Yes;Daylight;Urban (>70% Developed);4 lanes;2.0;Straight - Grade;NC Route;None;Smooth Asphalt;Urban;30 - 35  MPH;Cloudy;No
Yes;50-59;51;With Traffic;K: Killed;Travel Lane;Black;Male;None - Rural Crash;Orange;Yes;Sunday;Non-Intersection;June;0:42;2012;K: Killed;25-29;27;No;51-55 mph;O: No Injury;Black;Female;No;No;Dark - Roadway Not Lighted;Rural (<30% Developed);2 lanes;2.0;Curve - Level;NC Route;None;Coarse Asphalt;Rural;50 - 55  MPH;Clear;No
Yes;20-24;20;With Traffic;B: Evident Injury;Travel Lane;White;Male;Chapel Hill;Orange;No;Thursday;Intersection;January;10:45;2013;B: Evident Injury;50-59;53;No;11-15 mph;O: No Injury;White;Female;No;No;Daylight;Urban (>70% Developed);2 lanes;2.0;Straight - Grade;Local Street;None;Smooth Asphalt;Urban;20 - 25  MPH;Cloudy;No
Yes;20-24;22;With Traffic;B: Evident Injury;Travel Lane;White;Female;Carrboro;Orange;No;Friday;Intersection;September;17:45;2012;B: Evident Injury;20-24;20;No;16-20 mph;O: No Injury;White;Male;No;No;Daylight;Urban (>70% Developed);2 lanes;2.0;Straight - Level;Local Street;None;Coarse Asphalt;Urban;30 - 35  MPH;Clear;No
Yes;20-24;24;With Traffic;B: Evident Injury;Travel Lane;White;Female;Chapel Hill;Orange;No;Monday;Intersection;October;16:39;2012;B: Evident Injury;70;70;No;6-10 mph;O: No Injury;White;Female;No;No;Daylight;Urban (>70% Developed);4 lanes;2.0;Straight - Grade;Local Street;None;Smooth Asphalt;Urban;30 - 35  MPH;Clear;No
No;20-24;21;With Traffic;B: Evident Injury;Travel Lane;White;Female;Chapel Hill;Orange;No;Friday;Intersection;August;12:23;2011;B: Evident Injury;50-59;52;No;16-20 mph;O: No Injury;White;Female;No;No;Daylight;Urban (>70% Developed);3 lanes;2.0;Straight - Level;Local Street;None;Smooth Asphalt;Urban;20 - 25  MPH;Clear;No
Yes;16-19;19;Facing Traffic;B: Evident Injury;Travel Lane;White;Male;Carrboro;Orange;No;Monday;Intersection;October;15:46;2008;B: Evident Injury;60-69;64;No;21-25 mph;O: No Injury;White;Female;No;No;Daylight;Urban (>70% Developed);3 lanes;2.0;Straight - Grade;Local Street;None;Smooth Asphalt;Urban;30 - 35  MPH;Clear;No
Yes;50-59;56;With Traffic;B: Evident Injury;Travel Lane;White;Male;None - Rural Crash;Orange;No;Saturday;Intersection;April;16:42;2013;B: Evident Injury;70;70;No;41-45 mph;O: No Injury;Black;Male;No;No;Daylight;Rural (<30% Developed);2 lanes;2.0;Straight - Level;State Secondary Route;None;Smooth Asphalt;Rural;40 - 45  MPH;Clear;No
Yes;40-49;41;Not Applicable;C: Possible Injury;Unknown;White;Male;Carrboro;Orange;Yes;Thursday;Non-Intersection;October;15:08;2009;C: Possible Injury;30-39;37;No;31-35 mph;O: No Injury;Other;Male;No;No;Daylight;Urban (>70% Developed);5 lanes;2.0;Straight - Hillcrest;Local Street;None;Coarse Asphalt;Urban;30 - 35  MPH;Clear;No
Yes;20-24;21;Facing Traffic;B: Evident Injury;Travel Lane;White;Male;Chapel Hill;Orange;No;Thursday;Non-Intersection;October;23:50;2010;B: Evident Injury;20-24;23;No;0-5 mph;O: No Injury;White;Male;No;No;Dark - Lighted Roadway;Urban (>70% Developed);4 lanes;2.0;Straight - Grade;Local Street;None;Smooth Asphalt;Urban;20 - 25  MPH;Clear;No
No;30-39;32;Facing Traffic;B: Evident Injury;Bike Lane / Paved Shoulder;Hispanic;Male;Chapel Hill;Orange;No;Tuesday;Intersection;June;15:29;2008;B: Evident Injury;20-24;21;No;0-5 mph;O: No Injury;White;Male;No;No;Daylight;Urban (>70% Developed);2 lanes;2.0;Straight - Level;Local Street;None;Smooth Asphalt;Urban;20 - 25  MPH;Clear;No
Yes;6-10;8;With Traffic;B: Evident Injury;Travel Lane;Black;Male;Chapel Hill;Orange;No;Saturday;Intersection;November;15:55;2011;B: Evident Injury;40-49;46;No;Unknown;O: No Injury;Black;Male;No;No;Daylight;Urban (>70% Developed);2 lanes;2.0;Straight - Grade;Local Street;None;Smooth Asphalt;Urban;20 - 25  MPH;Clear;No
Yes;20-24;22;With Traffic;B: Evident Injury;Travel Lane;White;Male;None - Rural Crash;Orange;No;Monday;Intersection;December;16:00;2012;B: Evident Injury;40-49;40;No;21-25 mph;O: No Injury;White;Male;No;No;Daylight;Rural (<30% Developed);2 lanes;2.0;Straight - Grade;State Secondary Route;None;Smooth Asphalt;Rural;40 - 45  MPH;Clear;No
No;20-24;21;With Traffic;B: Evident Injury;Travel Lane;White;Female;Chapel Hill;Orange;No;Monday;Intersection;August;14:46;2008;B: Evident Injury;50-59;54;No;Unknown;O: No Injury;White;Male;No;No;Daylight;Urban (>70% Developed);4 lanes;2.0;Straight - Level;Local Street;None;Smooth Asphalt;Urban;20 - 25  MPH;Clear;No
Yes;25-29;25;With Traffic;B: Evident Injury;Travel Lane;White;Male;None - Rural Crash;Orange;No;Saturday;Non-Intersection;June;19:01;2007;B: Evident Injury;Unknown;Unknown;No;11-15 mph;Unknown Injury;Unknown/Missing;Unknown;No;Yes;Daylight;Rural (<30% Developed);2 lanes;2.0;Curve - Hillcrest;State Secondary Route;None;Smooth Asphalt;Rural;40 - 45  MPH;Clear;No
No;20-24;20;With Traffic;Unknown Injury;Travel Lane;White;Male;Chapel Hill;Orange;No;Saturday;Non-Intersection;May;9:56;2008;O: No Injury;20-24;22;No;Unknown;O: No Injury;White;Male;No;No;Daylight;Urban (>70% Developed);2 lanes;2.0;Straight - Grade;Local Street;None;Smooth Asphalt;Urban;20 - 25  MPH;Cloudy;No
Yes;50-59;54;With Traffic;C: Possible Injury;Travel Lane;White;Male;Chapel Hill;Orange;No;Tuesday;Intersection-Related;November;17:25;2012;C: Possible Injury;30-39;31;No;0-5 mph;O: No Injury;White;Female;No;No;Dark - Lighted Roadway;Urban (>70% Developed);2 lanes;2.0;Straight - Level;Local Street;None;Smooth Asphalt;Urban;20 - 25  MPH;Rain;No
Yes;6-10;8;Unknown;B: Evident Injury;Sidewalk / Crosswalk / Driveway Crossing;Black;Female;Chapel Hill;Orange;No;Friday;Non-Intersection;June;14:42;2009;B: Evident Injury;30-39;32;No;0-5 mph;O: No Injury;White;Male;No;No;Daylight;Urban (>70% Developed);2 lanes;2.0;Straight - Grade;Local Street;None;Smooth Asphalt;Urban;30 - 35  MPH;Clear;No
Yes;50-59;51;Facing Traffic;C: Possible Injury;Sidewalk / Crosswalk / Driveway Crossing;Black;Male;Carrboro;Orange;No;Monday;Non-Intersection;September;14:09;2011;C: Possible Injury;40-49;42;No;11-15 mph;O: No Injury;White;Male;No;No;Daylight;Urban (>70% Developed);4 lanes;2.0;Straight - Level;Unknown;None;Smooth Asphalt;Urban;30 - 35  MPH;Clear;No
Yes;25-29;25;Facing Traffic;B: Evident Injury;Travel Lane;White;Male;Chapel Hill;Orange;No;Friday;Intersection;August;21:55;2008;B: Evident Injury;20-24;20;No;6-10 mph;O: No Injury;White;Male;No;No;Dark - Lighted Roadway;Urban (>70% Developed);2 lanes;2.0;Straight - Level;Local Street;None;Smooth Asphalt;Urban;20 - 25  MPH;Cloudy;No
Yes;20-24;21;With Traffic;B: Evident Injury;Travel Lane;White;Male;Chapel Hill;Orange;No;Wednesday;Intersection;September;10:52;2009;B: Evident Injury;40-49;40;No;6-10 mph;Unknown Injury;Black;Male;No;No;Unknown;Urban (>70% Developed);6 lanes;2.0;Straight - Bottom;Local Street;None;Smooth Asphalt;Urban;20 - 25  MPH;Clear;No
Yes;30-39;37;With Traffic;C: Possible Injury;Travel Lane;White;Male;Carrboro;Orange;No;Saturday;Non-Intersection;March;19:03;2013;C: Possible Injury;20-24;20;No;0-5 mph;O: No Injury;White;Female;No;No;Daylight;Urban (>70% Developed);3 lanes;2.0;Straight - Level;Local Street;None;Coarse Asphalt;Urban;20 - 25  MPH;Clear;No
No;25-29;27;With Traffic;C: Possible Injury;Sidewalk / Crosswalk / Driveway Crossing;White;Female;Chapel Hill;Orange;No;Tuesday;Intersection;December;18:07;2008;C: Possible Injury;20-24;21;No;0-5 mph;O: No Injury;White;Female;No;No;Dark - Lighted Roadway;Urban (>70% Developed);Unknown;2.0;Straight - Level;Public Vehicular Area;None;Smooth Asphalt;Urban;5 - 15 MPH;Cloudy;No
No;20-24;21;With Traffic;C: Possible Injury;Sidewalk / Crosswalk / Driveway Crossing;Asian;Female;Carrboro;Orange;No;Thursday;Intersection;September;7:49;2010;C: Possible Injury;40-49;47;No;6-10 mph;O: No Injury;Black;Female;No;No;Daylight;Urban (>70% Developed);2 lanes;2.0;Curve - Grade;Local Street;None;Smooth Asphalt;Urban;20 - 25  MPH;Clear;No
No;20-24;21;With Traffic;C: Possible Injury;Travel Lane;White;Male;Chapel Hill;Orange;No;Wednesday;Intersection;April;17:28;2008;C: Possible Injury;20-24;24;No;Unknown;O: No Injury;White;Female;No;No;Daylight;Urban (>70% Developed);2 lanes;2.0;Straight - Level;Local Street;None;Smooth Asphalt;Urban;Unknown;Clear;No
Yes;20-24;20;With Traffic;B: Evident Injury;Sidewalk / Crosswalk / Driveway Crossing;Asian;Female;Chapel Hill;Orange;No;Thursday;Non-Intersection;October;15:34;2010;B: Evident Injury;25-29;27;No;11-15 mph;Unknown Injury;Black;Male;No;No;Daylight;Mixed (30% To 70% Developed);4 lanes;2.0;Straight - Level;Local Street;None;Smooth Asphalt;Urban;20 - 25  MPH;Clear;No
No;50-59;51;With Traffic;B: Evident Injury;Travel Lane;White;Male;None - Rural Crash;Orange;No;Thursday;Non-Intersection;April;20:38;2008;B: Evident Injury;40-49;49;No;41-45 mph;O: No Injury;Black;Male;No;No;Dark - Roadway Not Lighted;Mixed (30% To 70% Developed);2 lanes;2.0;Straight - Level;State Secondary Route;None;Smooth Asphalt;Rural;40 - 45  MPH;Clear;No
No;40-49;42;With Traffic;C: Possible Injury;Bike Lane / Paved Shoulder;Asian;Female;Carrboro;Orange;No;Thursday;Non-Intersection;December;7:52;2007;C: Possible Injury;50-59;58;No;36-40 mph;O: No Injury;White;Male;No;No;Daylight;Rural (<30% Developed);4 lanes;2.0;Straight - Level;NC Route;None;Smooth Asphalt;Urban;40 - 45  MPH;Clear;No
Yes;30-39;32;With Traffic;C: Possible Injury;Travel Lane;White;Male;Chapel Hill;Orange;No;Tuesday;Intersection-Related;September;19:03;2010;C: Possible Injury;60-69;61;No;31-35 mph;O: No Injury;White;Female;No;No;Daylight;Urban (>70% Developed);2 lanes;2.0;Straight - Level;Local Street;None;Smooth Asphalt;Urban;30 - 35  MPH;Clear;No
No;16-19;19;With Traffic;B: Evident Injury;Travel Lane;Asian;Male;Chapel Hill;Orange;No;Wednesday;Non-Intersection;April;15:27;2012;B: Evident Injury;25-29;26;No;11-15 mph;O: No Injury;White;Male;No;No;Daylight;Urban (>70% Developed);4 lanes;2.0;Straight - Grade;Local Street;None;Smooth Asphalt;Urban;20 - 25  MPH;Clear;No
Yes;11-15;12;Unknown;B: Evident Injury;Travel Lane;Black;Male;Chapel Hill;Orange;No;Saturday;Intersection;May;16:04;2007;B: Evident Injury;20-24;22;No;21-25 mph;O: No Injury;White;Male;No;No;Daylight;Urban (>70% Developed);2 lanes;2.0;Straight - Grade;Local Street;None;Smooth Asphalt;Urban;20 - 25  MPH;Cloudy;No
Yes;40-49;44;With Traffic;C: Possible Injury;Travel Lane;White;Male;None - Rural Crash;Orange;Yes;Thursday;Intersection-Related;April;0:49;2011;C: Possible Injury;Unknown;Unknown;No;26-30 mph;Unknown Injury;Unknown/Missing;Unknown;No;Yes;Dark - Roadway Not Lighted;Mixed (30% To 70% Developed);9 or more lanes;2.0;Straight - Grade;State Secondary Route;None;Smooth Asphalt;Rural;40 - 45  MPH;Clear;No
