ambulancer;bikeage_gr;bike_age;bike_dir;bike_injur;bike_pos;bike_race;bike_sex;city;county;crashalcoh;crashday;crash_grp;crash_loc;crash_mont;crash_time;crash_type;crash_year;crsh_sevri;developmen;drvrage_gr;drvr_age;drvr_alc_d;drvr_estsp;drvr_injur;drvr_race;drvr_sex;drvr_vehty;excsspdind;hit_run;light_cond;locality;num_lanes;num_units;rd_charact;rd_class;rd_conditi;rd_config;rd_defects;rd_feature;rd_surface;rural_urba;speed_limi;traff_cntr;weather;workzone_i
Yes;70;70;With Traffic;K: Killed;Travel Lane;White;Male;Carrboro;Orange;No;Saturday;Motorist Overtaking Bicyclist;Non-Intersection;July;10:12;Motorist Overtaking - Bicyclist Swerved;2011;K: Killed;Commercial;70;70;No;11-15 mph;O: No Injury;White;Male;Passenger Car;No;No;Daylight;Urban (>70% Developed);Unknown;2.0;Straight - Level;State Secondary Route;Dry;Two-Way, Not Divided;None;No Special Feature;Smooth Asphalt;Urban;20 - 25  MPH;No Control Present;Clear;No
No;20-24;24;With Traffic;C: Possible Injury;Travel Lane;White;Male;None - Rural Crash;Orange;No;Tuesday;Motorist Left Turn / Merge;Non-Intersection;February;17:11;Motorist Left Turn - Opposite Direction;2012;C: Possible Injury;Farms, Woods, Pastures;Unknown;Unknown;Missing;6-10 mph;Unknown Injury;Unknown/Missing;Unknown;Passenger Car;No;Yes;Daylight;Rural (<30% Developed);2 lanes;3.0;Straight - Level;State Secondary Route;Dry;Two-Way, Not Divided;None;Driveway, Private;Coarse Asphalt;Rural;40 - 45  MPH;Double Yellow Line, No Passing Zone;Clear;No
Yes;25-29;26;With Traffic;B: Evident Injury;Travel Lane;Black;Male;Durham;Durham;No;Tuesday;Motorist Overtaking Bicyclist;Non-Intersection;February;19:15;Motorist Overtaking - Other / Unknown;2008;B: Evident Injury;Residential;Unknown;Unknown;Missing;41-45 mph;Unknown Injury;Unknown/Missing;Unknown;Unknown;No;Yes;Dark - Roadway Not Lighted;Mixed (30% To 70% Developed);2 lanes;2.0;Straight - Level;State Secondary Route;Dry;Two-Way, Not Divided;None;No Special Feature;Smooth Asphalt;Urban;40 - 45  MPH;Double Yellow Line, No Passing Zone;Clear;No
Yes;30-39;33;With Traffic;B: Evident Injury;Travel Lane;White;Female;Carrboro;Orange;No;Sunday;Motorist Left Turn / Merge;Intersection;December;12:09;Motorist Left Turn - Opposite Direction;2008;B: Evident Injury;Residential;70;70;No;16-20 mph;O: No Injury;White;Female;Passenger Car;No;No;Daylight;Urban (>70% Developed);2 lanes;2.0;Straight - Level;Local Street;Dry;Two-Way, Not Divided;None;T-Intersection;Smooth Asphalt;Urban;30 - 35  MPH;Missing;Clear;No
Yes;40-49;41;With Traffic;B: Evident Injury;Travel Lane;White;Female;None - Rural Crash;Durham;No;Wednesday;Motorist Failed to Yield - Sign-Controlled Intersection;Intersection;September;8:40;Motorist Drive Out - Sign-Controlled Intersection;2011;B: Evident Injury;Farms, Woods, Pastures;70;70;No;6-10 mph;O: No Injury;White;Male;Passenger Car;No;No;Daylight;Rural (<30% Developed);2 lanes;2.0;Straight - Grade;State Secondary Route;Dry;Two-Way, Not Divided;None;Four-Way Intersection;Smooth Asphalt;Rural;40 - 45  MPH;Stop Sign;Clear;No
Yes;11-15;12;Facing Traffic;B: Evident Injury;Sidewalk / Crosswalk / Driveway Crossing;White;Male;Chapel Hill;Orange;No;Tuesday;Motorist Failed to Yield - Sign-Controlled Intersection;Intersection;March;15:24;Motorist Drive Out - Sign-Controlled Intersection;2008;B: Evident Injury;Residential;40-49;49;No;0-5 mph;O: No Injury;White;Male;Passenger Car;No;No;Daylight;Urban (>70% Developed);2 lanes;2.0;Straight - Bottom;Local Street;Dry;Two-Way, Not Divided;None;T-Intersection;Smooth Asphalt;Urban;20 - 25  MPH;Stop Sign;Clear;No
No;Unknown;0;Facing Traffic;Unknown Injury;Travel Lane;Unknown/Missing;Unknown;Chapel Hill;Orange;No;Monday;Bicyclist Left Turn / Merge;Non-Intersection;April;18:27;Bicyclist Left Turn - Opposite Direction;2012;O: No Injury;Residential;25-29;27;No;31-35 mph;O: No Injury;White;Male;Passenger Car;No;No;Daylight;Urban (>70% Developed);1 lane;2.0;Curve - Grade;Local Street;Dry;Two-Way, Not Divided;None;No Special Feature;Smooth Asphalt;Urban;30 - 35  MPH;No Control Present;Clear;No
Yes;20-24;23;With Traffic;O: No Injury;Travel Lane;White;Female;Carrboro;Orange;No;Friday;Motorist Failed to Yield - Midblock;Non-Intersection;August;20:06;Motorist Drive Out - Commercial Driveway / Alley;2008;O: No Injury;Residential;50-59;57;No;6-10 mph;O: No Injury;White;Male;Passenger Car;No;No;Dusk;Urban (>70% Developed);2 lanes;2.0;Straight - Level;Local Street;Dry;Two-Way, Not Divided;None;No Special Feature;Coarse Asphalt;Urban;30 - 35  MPH;Missing;Clear;No
Yes;6-10;10;With Traffic;B: Evident Injury;Travel Lane;Black;Male;Chapel Hill;Orange;No;Thursday;Bicyclist Failed to Yield - Sign-Controlled Intersection;Intersection;October;15:13;Bicyclist Ride Through - Sign-Controlled Intersection;2010;B: Evident Injury;Residential;20-24;21;No;16-20 mph;O: No Injury;White;Male;Single Unit Truck (2-Axle, 6-Tire);No;No;Daylight;Rural (<30% Developed);2 lanes;2.0;Straight - Level;Local Street;Dry;Two-Way, Not Divided;None;Four-Way Intersection;Coarse Asphalt;Urban;20 - 25  MPH;Stop Sign;Clear;No
Yes;40-49;45;With Traffic;C: Possible Injury;Travel Lane;White;Male;Durham;Durham;No;Friday;Motorist Overtaking Bicyclist;Non-Intersection;November;20:49;Motorist Overtaking - Undetected Bicyclist;2013;C: Possible Injury;Commercial;25-29;26;No;31-35 mph;O: No Injury;Black;Female;Passenger Car;No;No;Dark - Roadway Not Lighted;Urban (>70% Developed);2 lanes;2.0;Straight - Level;Local Street;Dry;Two-Way, Not Divided;None;No Special Feature;Coarse Asphalt;Urban;30 - 35  MPH;No Control Present;Cloudy;No
Yes;30-39;30;With Traffic;B: Evident Injury;Travel Lane;White;Male;Carrboro;Orange;Yes;Friday;Motorist Left Turn / Merge;Intersection;February;22:47;Motorist Left Turn - Opposite Direction;2008;B: Evident Injury;Residential;40-49;43;No;16-20 mph;O: No Injury;Asian;Male;Passenger Car;No;No;Dark - Lighted Roadway;Urban (>70% Developed);3 lanes;2.0;Straight - Level;Local Street;Dry;Two-Way, Not Divided;None;T-Intersection;Coarse Asphalt;Urban;20 - 25  MPH;Stop Sign;Clear;No
Yes;20-24;21;Not Applicable;B: Evident Injury;Non-Roadway;White;Male;Chapel Hill;Orange;No;Saturday;Non-Roadway;Non-Roadway;June;22:54;Non-Roadway;2010;B: Evident Injury;Commercial;50-59;55;No;Unknown;Unknown Injury;White;Male;Passenger Car;No;No;Dark - Lighted Roadway;Urban (>70% Developed);Unknown;2.0;Straight - Level;Public Vehicular Area;Dry;Two-Way, Not Divided;None;Driveway, Public;Smooth Asphalt;Urban;20 - 25  MPH;Stop Sign;Clear;No
Yes;16-19;19;Facing Traffic;B: Evident Injury;Sidewalk / Crosswalk / Driveway Crossing;White;Female;Chapel Hill;Orange;No;Friday;Motorist Failed to Yield - Sign-Controlled Intersection;Intersection;April;13:55;Motorist Drive Out - Sign-Controlled Intersection;2012;B: Evident Injury;Residential;60-69;60;No;Unknown;O: No Injury;White;Male;Pickup;No;No;Daylight;Urban (>70% Developed);5 lanes;2.0;Straight - Grade;Local Street;Dry;Two-Way, Not Divided;None;T-Intersection;Smooth Asphalt;Urban;20 - 25  MPH;Stop Sign;Clear;No
Yes;30-39;39;Facing Traffic;C: Possible Injury;Travel Lane;Asian;Female;Chapel Hill;Orange;No;Thursday;Motorist Failed to Yield - Sign-Controlled Intersection;Intersection;August;16:33;Motorist Drive Out - Sign-Controlled Intersection;2011;C: Possible Injury;Commercial;50-59;54;No;0-5 mph;O: No Injury;White;Male;Passenger Car;No;No;Daylight;Mixed (30% To 70% Developed);4 lanes;2.0;Curve - Level;Local Street;Dry;Two-Way, Divided, Positive Median Barrier;None;T-Intersection;Smooth Asphalt;Urban;20 - 25  MPH;No Control Present;Clear;No
Yes;11-15;13;With Traffic;B: Evident Injury;Travel Lane;Black;Male;Chapel Hill;Orange;No;Saturday;Bicyclist Overtaking Motorist;Non-Intersection;May;15:13;Bicyclist Overtaking - Passing on Right;2009;B: Evident Injury;Commercial;40-49;44;No;Unknown;O: No Injury;White;Female;Sport Utility;No;No;Daylight;Urban (>70% Developed);4 lanes;2.0;Straight - Level;Local Street;Dry;Two-Way, Not Divided;None;No Special Feature;Smooth Asphalt;Urban;20 - 25  MPH;Stop And Go Signal;Clear;No
Yes;70;70;Not Applicable;C: Possible Injury;Non-Roadway;White;Male;Chapel Hill;Orange;No;Tuesday;Non-Roadway;Non-Roadway;June;7:25;Non-Roadway;2009;C: Possible Injury;Commercial;25-29;25;No;0-5 mph;O: No Injury;White;Female;Passenger Car;No;No;Daylight;Urban (>70% Developed);Unknown;2.0;Straight - Level;Public Vehicular Area;Dry;Two-Way, Not Divided;None;No Special Feature;Smooth Asphalt;Urban;Unknown;No Control Present;Clear;No
No;20-24;22;Facing Traffic;B: Evident Injury;Sidewalk / Crosswalk / Driveway Crossing;White;Male;Chapel Hill;Orange;No;Thursday;Motorist Failed to Yield - Signalized Intersection;Intersection;May;16:23;Motorist Drive Out - Signalized Intersection;2010;B: Evident Injury;Commercial;50-59;54;No;6-10 mph;O: No Injury;White;Female;Passenger Car;No;No;Daylight;Urban (>70% Developed);6 lanes;2.0;Straight - Level;NC Route;Dry;Two-Way, Divided, Unprotected Median;None;Four-Way Intersection;Smooth Asphalt;Urban;30 - 35  MPH;Stop And Go Signal;Clear;No
Yes;11-15;13;With Traffic;B: Evident Injury;Travel Lane;White;Male;Durham;Durham;No;Friday;Loss of Control / Turning Error;Intersection;April;15:26;Bicyclist Lost Control - Oversteering, Improper Braking, Speed;2008;B: Evident Injury;Commercial;0-19;16;No;6-10 mph;O: No Injury;White;Female;Sport Utility;No;No;Daylight;Urban (>70% Developed);8 lanes;2.0;Straight - Level;Local Street;Dry;Two-Way, Not Divided;None;Four-Way Intersection;Smooth Asphalt;Urban;30 - 35  MPH;Stop And Go Signal;Clear;No
No;25-29;29;With Traffic;C: Possible Injury;Bike Lane / Paved Shoulder;White;Female;Carrboro;Orange;No;Friday;Motorist Right Turn / Merge;Non-Intersection;September;17:58;Motorist Right Turn - Same Direction;2012;C: Possible Injury;Commercial;0-19;16;No;0-5 mph;O: No Injury;White;Male;Pickup;No;No;Daylight;Urban (>70% Developed);2 lanes;2.0;Straight - Level;Local Street;Dry;Two-Way, Not Divided;None;No Special Feature;Coarse Asphalt;Urban;20 - 25  MPH;No Control Present;Clear;No
Yes;30-39;30;Facing Traffic;B: Evident Injury;Sidewalk / Crosswalk / Driveway Crossing;Black;Female;Chapel Hill;Orange;No;Friday;Motorist Failed to Yield - Signalized Intersection;Intersection;April;18:33;Motorist Drive Out - Signalized Intersection;2010;B: Evident Injury;Residential;30-39;35;No;6-10 mph;O: No Injury;White;Male;Passenger Car;No;No;Daylight;Urban (>70% Developed);9 or more lanes;2.0;Straight - Grade;NC Route;Dry;Two-Way, Divided, Unprotected Median;None;Four-Way Intersection;Smooth Asphalt;Urban;20 - 25  MPH;Stop And Go Signal;Clear;No
Yes;50-59;54;Unknown;A: Disabling Injury;Travel Lane;White;Male;Carrboro;Orange;No;Monday;Crossing Paths - Other Circumstances;Intersection-Related;April;7:58;Crossing Paths - Intersection - Other / Unknown;2011;A: Disabling Injury;Commercial;40-49;49;No;16-20 mph;O: No Injury;White;Female;Van;No;No;Daylight;Urban (>70% Developed);4 lanes;2.0;Curve - Level;NC Route;Dry;Two-Way, Divided, Unprotected Median;None;Related To Intersection;Smooth Asphalt;Urban;40 - 45  MPH;Stop And Go Signal;Cloudy;No
Yes;25-29;28;With Traffic;B: Evident Injury;Travel Lane;White;Female;Chapel Hill;Orange;No;Tuesday;Motorist Left Turn / Merge;Intersection;September;22:51;Motorist Left Turn - Opposite Direction;2011;B: Evident Injury;Commercial;0-19;19;No;0-5 mph;O: No Injury;White;Male;Passenger Car;No;No;Dark - Lighted Roadway;Urban (>70% Developed);4 lanes;2.0;Straight - Level;Local Street;Dry;Two-Way, Not Divided;None;No Special Feature;Smooth Asphalt;Urban;20 - 25  MPH;No Control Present;Clear;No
Yes;30-39;35;With Traffic;C: Possible Injury;Bike Lane / Paved Shoulder;White;Male;Chapel Hill;Orange;Yes;Friday;Motorist Right Turn / Merge;Non-Intersection;May;16:03;Motorist Right Turn - Same Direction;2012;C: Possible Injury;Residential;20-24;22;Yes;16-20 mph;O: No Injury;White;Male;Unknown;No;Yes;Daylight;Urban (>70% Developed);4 lanes;2.0;Straight - Grade;NC Route;Dry;Two-Way, Divided, Unprotected Median;None;No Special Feature;Smooth Asphalt;Urban;30 - 35  MPH;Double Yellow Line, No Passing Zone;Cloudy;No
Yes;50-59;51;With Traffic;K: Killed;Travel Lane;Black;Male;None - Rural Crash;Orange;Yes;Sunday;Motorist Overtaking Bicyclist;Non-Intersection;June;0:42;Motorist Overtaking - Other / Unknown;2012;K: Killed;Farms, Woods, Pastures;25-29;27;No;51-55 mph;O: No Injury;Black;Female;Passenger Car;No;No;Dark - Roadway Not Lighted;Rural (<30% Developed);2 lanes;2.0;Curve - Level;NC Route;Dry;Two-Way, Not Divided;None;No Special Feature;Coarse Asphalt;Rural;50 - 55  MPH;Double Yellow Line, No Passing Zone;Clear;No
Yes;20-24;20;With Traffic;B: Evident Injury;Travel Lane;White;Male;Chapel Hill;Orange;No;Thursday;Bicyclist Failed to Yield - Sign-Controlled Intersection;Intersection;January;10:45;Bicyclist Ride Through - Sign-Controlled Intersection;2013;B: Evident Injury;Residential;50-59;53;No;11-15 mph;O: No Injury;White;Female;Passenger Car;No;No;Daylight;Urban (>70% Developed);2 lanes;2.0;Straight - Grade;Local Street;Wet;Two-Way, Not Divided;None;No Special Feature;Smooth Asphalt;Urban;20 - 25  MPH;Stop Sign;Cloudy;No
Yes;20-24;22;With Traffic;B: Evident Injury;Travel Lane;White;Female;Carrboro;Orange;No;Friday;Motorist Left Turn / Merge;Intersection;September;17:45;Motorist Left Turn - Opposite Direction;2012;B: Evident Injury;Residential;20-24;20;No;16-20 mph;O: No Injury;White;Male;Passenger Car;No;No;Daylight;Urban (>70% Developed);2 lanes;2.0;Straight - Level;Local Street;Dry;Two-Way, Not Divided;None;Related To Intersection;Coarse Asphalt;Urban;30 - 35  MPH;No Control Present;Clear;No
Yes;20-24;24;With Traffic;B: Evident Injury;Travel Lane;White;Female;Chapel Hill;Orange;No;Monday;Motorist Left Turn / Merge;Intersection;October;16:39;Motorist Left Turn - Opposite Direction;2012;B: Evident Injury;Residential;70;70;No;6-10 mph;O: No Injury;White;Female;Passenger Car;No;No;Daylight;Urban (>70% Developed);4 lanes;2.0;Straight - Grade;Local Street;Dry;Two-Way, Not Divided;None;Four-Way Intersection;Smooth Asphalt;Urban;30 - 35  MPH;Stop And Go Signal;Clear;No
No;20-24;21;With Traffic;B: Evident Injury;Travel Lane;White;Female;Chapel Hill;Orange;No;Friday;Motorist Right Turn / Merge;Intersection;August;12:23;Motorist Right Turn - Same Direction;2011;B: Evident Injury;Residential;50-59;52;No;16-20 mph;O: No Injury;White;Female;Pickup;No;No;Daylight;Urban (>70% Developed);3 lanes;2.0;Straight - Level;Local Street;Dry;Two-Way, Not Divided;None;T-Intersection;Smooth Asphalt;Urban;20 - 25  MPH;No Control Present;Clear;No
Yes;16-19;19;Facing Traffic;B: Evident Injury;Travel Lane;White;Male;Carrboro;Orange;No;Monday;Bicyclist Right Turn / Merge;Intersection;October;15:46;Bicyclist Right Turn - Same Direction;2008;B: Evident Injury;Residential;60-69;64;No;21-25 mph;O: No Injury;White;Female;Passenger Car;No;No;Daylight;Urban (>70% Developed);3 lanes;2.0;Straight - Grade;Local Street;Dry;Two-Way, Not Divided;None;Four-Way Intersection;Smooth Asphalt;Urban;30 - 35  MPH;Stop And Go Signal;Clear;No
Yes;50-59;56;With Traffic;B: Evident Injury;Travel Lane;White;Male;None - Rural Crash;Orange;No;Saturday;Motorist Left Turn / Merge;Intersection;April;16:42;Motorist Left Turn - Opposite Direction;2013;B: Evident Injury;Farms, Woods, Pastures;70;70;No;41-45 mph;O: No Injury;Black;Male;Passenger Car;No;No;Daylight;Rural (<30% Developed);2 lanes;2.0;Straight - Level;State Secondary Route;Dry;Two-Way, Not Divided;None;T-Intersection;Smooth Asphalt;Rural;40 - 45  MPH;Double Yellow Line, No Passing Zone;Clear;No
Yes;40-49;41;Not Applicable;C: Possible Injury;Unknown;White;Male;Carrboro;Orange;Yes;Thursday;Bicyclist Failed to Yield - Midblock;Non-Intersection;October;15:08;Bicyclist Ride Out - Midblock - Unknown;2009;C: Possible Injury;Residential;30-39;37;No;31-35 mph;O: No Injury;Other;Male;Passenger Car;No;No;Daylight;Urban (>70% Developed);5 lanes;2.0;Straight - Hillcrest;Local Street;Dry;Two-Way, Not Divided;None;No Special Feature;Coarse Asphalt;Urban;30 - 35  MPH;No Control Present;Clear;No
Yes;20-24;21;Facing Traffic;B: Evident Injury;Travel Lane;White;Male;Chapel Hill;Orange;No;Thursday;Motorist Failed to Yield - Midblock;Non-Intersection;October;23:50;Motorist Drive Out - Commercial Driveway / Alley;2010;B: Evident Injury;Commercial;20-24;23;No;0-5 mph;O: No Injury;White;Male;Passenger Car;No;No;Dark - Lighted Roadway;Urban (>70% Developed);4 lanes;2.0;Straight - Grade;Local Street;Dry;Two-Way, Not Divided;None;No Special Feature;Smooth Asphalt;Urban;20 - 25  MPH;No Control Present;Clear;No
No;30-39;32;Facing Traffic;B: Evident Injury;Bike Lane / Paved Shoulder;Hispanic;Male;Chapel Hill;Orange;No;Tuesday;Motorist Failed to Yield - Sign-Controlled Intersection;Intersection;June;15:29;Motorist Drive Out - Sign-Controlled Intersection;2008;B: Evident Injury;Residential;20-24;21;No;0-5 mph;O: No Injury;White;Male;Passenger Car;No;No;Daylight;Urban (>70% Developed);2 lanes;2.0;Straight - Level;Local Street;Dry;Two-Way, Not Divided;None;T-Intersection;Smooth Asphalt;Urban;20 - 25  MPH;Stop Sign;Clear;No
Yes;6-10;8;With Traffic;B: Evident Injury;Travel Lane;Black;Male;Chapel Hill;Orange;No;Saturday;Bicyclist Failed to Yield - Sign-Controlled Intersection;Intersection;November;15:55;Bicyclist Ride Through - Sign-Controlled Intersection;2011;B: Evident Injury;Residential;40-49;46;No;Unknown;O: No Injury;Black;Male;Sport Utility;No;No;Daylight;Urban (>70% Developed);2 lanes;2.0;Straight - Grade;Local Street;Dry;Two-Way, Not Divided;None;Four-Way Intersection;Smooth Asphalt;Urban;20 - 25  MPH;Stop Sign;Clear;No
Yes;20-24;22;With Traffic;B: Evident Injury;Travel Lane;White;Male;None - Rural Crash;Orange;No;Monday;Motorist Failed to Yield - Sign-Controlled Intersection;Intersection;December;16:00;Motorist Drive Out - Sign-Controlled Intersection;2012;B: Evident Injury;Farms, Woods, Pastures;40-49;40;No;21-25 mph;O: No Injury;White;Male;Passenger Car;No;No;Daylight;Rural (<30% Developed);2 lanes;2.0;Straight - Grade;State Secondary Route;Dry;Two-Way, Not Divided;None;T-Intersection;Smooth Asphalt;Rural;40 - 45  MPH;Stop Sign;Clear;No
No;20-24;21;With Traffic;B: Evident Injury;Travel Lane;White;Female;Chapel Hill;Orange;No;Monday;Bicyclist Overtaking Motorist;Intersection;August;14:46;Bicyclist Overtaking - Passing on Right;2008;B: Evident Injury;Commercial;50-59;54;No;Unknown;O: No Injury;White;Male;Sport Utility;No;No;Daylight;Urban (>70% Developed);4 lanes;2.0;Straight - Level;Local Street;Dry;Two-Way, Not Divided;None;Four-Way Intersection;Smooth Asphalt;Urban;20 - 25  MPH;Stop And Go Signal;Clear;No
Yes;25-29;25;With Traffic;B: Evident Injury;Travel Lane;White;Male;None - Rural Crash;Orange;No;Saturday;Motorist Left Turn / Merge;Non-Intersection;June;19:01;Motorist Left Turn - Opposite Direction;2007;B: Evident Injury;Farms, Woods, Pastures;Unknown;Unknown;No;11-15 mph;Unknown Injury;Unknown/Missing;Unknown;Pickup;No;Yes;Daylight;Rural (<30% Developed);2 lanes;2.0;Curve - Hillcrest;State Secondary Route;Dry;Two-Way, Not Divided;None;No Special Feature;Smooth Asphalt;Rural;40 - 45  MPH;Double Yellow Line, No Passing Zone;Clear;No
No;20-24;20;With Traffic;Unknown Injury;Travel Lane;White;Male;Chapel Hill;Orange;No;Saturday;Motorist Failed to Yield - Midblock;Non-Intersection;May;9:56;Motorist Drive Out - Residential Driveway;2008;O: No Injury;Residential;20-24;22;No;Unknown;O: No Injury;White;Male;Passenger Car;No;No;Daylight;Urban (>70% Developed);2 lanes;2.0;Straight - Grade;Local Street;Dry;Two-Way, Not Divided;None;No Special Feature;Smooth Asphalt;Urban;20 - 25  MPH;Missing;Cloudy;No
Yes;50-59;54;With Traffic;C: Possible Injury;Travel Lane;White;Male;Chapel Hill;Orange;No;Tuesday;Bicyclist Overtaking Motorist;Intersection-Related;November;17:25;Bicyclist Overtaking - Extended Door;2012;C: Possible Injury;Residential;30-39;31;No;0-5 mph;O: No Injury;White;Female;Passenger Car;No;No;Dark - Lighted Roadway;Urban (>70% Developed);2 lanes;2.0;Straight - Level;Local Street;Wet;Two-Way, Divided, Unprotected Median;None;No Special Feature;Smooth Asphalt;Urban;20 - 25  MPH;Double Yellow Line, No Passing Zone;Rain;No
Yes;6-10;8;Unknown;B: Evident Injury;Sidewalk / Crosswalk / Driveway Crossing;Black;Female;Chapel Hill;Orange;No;Friday;Motorist Failed to Yield - Midblock;Non-Intersection;June;14:42;Motorist Drive Out - Residential Driveway;2009;B: Evident Injury;Commercial;30-39;32;No;0-5 mph;O: No Injury;White;Male;Van;No;No;Daylight;Urban (>70% Developed);2 lanes;2.0;Straight - Grade;Local Street;Dry;Two-Way, Not Divided;None;Driveway, Public;Smooth Asphalt;Urban;30 - 35  MPH;No Control Present;Clear;No
