ambulancer;bikeage_gr;bike_age;bike_dir;bike_injur;bike_pos;bike_race;bike_sex;city;county;crashalcoh;crashday;crash_grp;crash_loc;crash_mont;crash_time;crash_type;crash_year;crsh_sevri;developmen;drvrage_gr;drvr_age;drvr_alc_d;drvr_estsp;drvr_injur;drvr_race;drvr_sex;drvr_vehty;excsspdind;hit_run;light_cond;locality;num_lanes;num_units;rd_charact;rd_class;rd_conditi;rd_config;rd_defects;rd_feature;rd_surface;rural_urba;speed_limi;traff_cntr;weather;workzone_i
No;40-49;48;With Traffic;C: Possible Injury;Bike Lane / Paved Shoulder;White;Male;Chapel Hill;Orange;No;Monday;Motorist Overtaking Bicyclist;Non-Intersection;May;13:14;Motorist Overtaking - Misjudged Space;2011;C: Possible Injury;Commercial;Unknown;Unknown;Missing;41-45 mph;Unknown Injury;Unknown/Missing;Unknown;Unknown;No;Yes;Daylight;Urban (>70% Developed);4 lanes;2.0;Straight - Level;US Route;Dry;Two-Way, Divided, Unprotected Median;None;On or Off Ramp;Concrete;Urban;40 - 45  MPH;No Control Present;Clear;No
Yes;16-19;18;With Traffic;B: Evident Injury;Sidewalk / Crosswalk / Driveway Crossing;Black;Female;Chapel Hill;Orange;No;Wednesday;Bicyclist Failed to Yield - Signalized Intersection;Intersection;December;10:41;Bicyclist Failed to Clear - Multiple Threat;2012;B: Evident Injury;Institutional;25-29;26;No;0-5 mph;O: No Injury;White;Female;Sport Utility;No;No;Daylight;Urban (>70% Developed);3 lanes;2.0;Straight - Level;Local Street;Dry;Two-Way, Not Divided;None;No Special Feature;Smooth Asphalt;Urban;20 - 25  MPH;Stop And Go Signal;Cloudy;No
Yes;40-49;48;With Traffic;C: Possible Injury;Travel Lane;White;Female;Chapel Hill;Orange;No;Sunday;Motorist Left Turn / Merge;Intersection;March;18:01;Motorist Left Turn - Opposite Direction;2008;C: Possible Injury;Residential;70;70;No;16-20 mph;O: No Injury;White;Female;Passenger Car;No;No;Daylight;Urban (>70% Developed);2 lanes;2.0;Straight - Level;Local Street;Dry;Two-Way, Not Divided;None;Four-Way Intersection;Smooth Asphalt;Urban;30 - 35  MPH;No Control Present;Clear;No
Yes;25-29;26;With Traffic;C: Possible Injury;Travel Lane;White;Male;Chapel Hill;Orange;No;Thursday;Motorist Right Turn / Merge;Intersection;January;11:13;Motorist Right Turn - Same Direction;2010;C: Possible Injury;Residential;50-59;59;No;16-20 mph;O: No Injury;Black;Male;Pickup;No;No;Daylight;Urban (>70% Developed);2 lanes;2.0;Straight - Level;Local Street;Dry;Two-Way, Not Divided;None;No Special Feature;Smooth Asphalt;Urban;20 - 25  MPH;Other;Clear;No
No;20-24;23;Facing Traffic;C: Possible Injury;Travel Lane;White;Male;Chapel Hill;Orange;Yes;Wednesday;Motorist Failed to Yield - Signalized Intersection;Intersection;July;18:49;Motorist Drive Through - Signalized Intersection;2013;C: Possible Injury;Residential;20-24;21;Yes;26-30 mph;O: No Injury;White;Male;Passenger Car;No;No;Daylight;Urban (>70% Developed);2 lanes;2.0;Straight - Level;Local Street;Dry;Two-Way, Not Divided;None;No Special Feature;Smooth Asphalt;Urban;20 - 25  MPH;Stop And Go Signal;Clear;No
Yes;11-15;12;Facing Traffic;B: Evident Injury;Travel Lane;Black;Male;Chapel Hill;Orange;No;Thursday;Bicyclist Failed to Yield - Signalized Intersection;Intersection;November;18:56;Bicyclist Ride Through - Signalized Intersection;2013;B: Evident Injury;Commercial;0-19;18;No;31-35 mph;O: No Injury;White;Male;Passenger Car;No;No;Dark - Lighted Roadway;Mixed (30% To 70% Developed);5 lanes;2.0;Straight - Level;Local Street;Dry;Two-Way, Not Divided;None;Four-Way Intersection;Smooth Asphalt;Urban;30 - 35  MPH;Stop And Go Signal;Clear;No
Yes;16-19;18;With Traffic;B: Evident Injury;Sidewalk / Crosswalk / Driveway Crossing;White;Male;Chapel Hill;Orange;No;Thursday;Bicyclist Failed to Yield - Signalized Intersection;Intersection;November;18:31;Bicyclist Ride Through - Signalized Intersection;2008;B: Evident Injury;Commercial;20-24;23;No;6-10 mph;O: No Injury;White;Female;Light Truck (Mini-Van, Panel);No;No;Dark - Lighted Roadway;Urban (>70% Developed);4 lanes;2.0;Straight - Bottom;Local Street;Wet;Two-Way, Not Divided;None;Four-Way Intersection;Smooth Asphalt;Urban;20 - 25  MPH;Stop And Go Signal;Cloudy;No
No;25-29;27;With Traffic;C: Possible Injury;Travel Lane;White;Female;Chapel Hill;Orange;No;Tuesday;Motorist Failed to Yield - Midblock;Non-Intersection;December;13:30;Motorist Drive Out - Residential Driveway;2012;C: Possible Injury;Farms, Woods, Pastures;20-24;21;No;0-5 mph;O: No Injury;White;Male;Passenger Car;No;No;Daylight;Urban (>70% Developed);2 lanes;2.0;Straight - Grade;Local Street;Dry;Two-Way, Not Divided;None;No Special Feature;Smooth Asphalt;Urban;20 - 25  MPH;Double Yellow Line, No Passing Zone;Clear;No
Yes;70;0;With Traffic;B: Evident Injury;Bike Lane / Paved Shoulder;White;Male;Chapel Hill;Orange;No;Tuesday;Motorist Overtaking Bicyclist;Non-Intersection;July;16:48;Motorist Overtaking - Other / Unknown;2013;B: Evident Injury;Commercial;40-49;44;No;41-45 mph;O: No Injury;White;Male;Tractor/Semi-Trailer;No;No;Daylight;Urban (>70% Developed);4 lanes;2.0;Straight - Level;US Route;Dry;Two-Way, Divided, Unprotected Median;None;No Special Feature;Smooth Asphalt;Urban;40 - 45  MPH;No Control Present;Clear;No
Yes;20-24;24;With Traffic;B: Evident Injury;Travel Lane;White;Male;Chapel Hill;Orange;No;Wednesday;Motorist Left Turn / Merge;Intersection-Related;October;19:00;Motorist Left Turn - Opposite Direction;2013;B: Evident Injury;Commercial;20-24;23;No;0-5 mph;O: No Injury;White;Male;Passenger Car;No;No;Dark - Lighted Roadway;Urban (>70% Developed);2 lanes;2.0;Straight - Level;Local Street;Dry;Unknown;None;No Special Feature;Concrete;Urban;20 - 25  MPH;No Control Present;Clear;No
Yes;50-59;57;With Traffic;B: Evident Injury;Travel Lane;White;Male;Carrboro;Orange;No;Sunday;Motorist Overtaking Bicyclist;Intersection-Related;November;15:29;Motorist Overtaking - Bicyclist Swerved;2012;B: Evident Injury;Commercial;50-59;58;No;11-15 mph;O: No Injury;Black;Male;Pickup;No;No;Daylight;Urban (>70% Developed);Unknown;2.0;Straight - Level;Local Street;Dry;Two-Way, Not Divided;None;No Special Feature;Coarse Asphalt;Urban;20 - 25  MPH;Stop And Go Signal;Clear;No
Yes;25-29;28;With Traffic;B: Evident Injury;Travel Lane;White;Male;Chapel Hill;Orange;No;Friday;Motorist Left Turn / Merge;Intersection;March;18:32;Motorist Left Turn - Opposite Direction;2010;B: Evident Injury;Residential;25-29;26;No;16-20 mph;O: No Injury;Black;Female;Passenger Car;No;No;Daylight;Urban (>70% Developed);5 lanes;2.0;Curve - Grade;Local Street;Dry;Two-Way, Not Divided;None;Four-Way Intersection;Smooth Asphalt;Urban;30 - 35  MPH;Yield Sign;Clear;No
Yes;11-15;13;With Traffic;C: Possible Injury;Bike Lane / Paved Shoulder;White;Female;Chapel Hill;Orange;No;Monday;Motorist Left Turn / Merge;Intersection;November;17:42;Motorist Left Turn - Opposite Direction;2009;C: Possible Injury;Residential;30-39;34;No;21-25 mph;O: No Injury;Black;Male;Passenger Car;No;No;Dark - Lighted Roadway;Urban (>70% Developed);2 lanes;2.0;Straight - Level;Local Street;Wet;Two-Way, Divided, Unprotected Median;None;No Special Feature;Smooth Asphalt;Urban;20 - 25  MPH;No Control Present;Cloudy;No
Yes;50-59;52;With Traffic;A: Disabling Injury;Travel Lane;White;Male;Durham;Durham;No;Monday;Motorist Overtaking Bicyclist;Non-Intersection;April;20:25;Motorist Overtaking - Undetected Bicyclist;2007;A: Disabling Injury;Commercial;20-24;20;No;41-45 mph;O: No Injury;White;Female;Passenger Car;No;No;Dark - Roadway Not Lighted;Urban (>70% Developed);4 lanes;2.0;Straight - Grade;Local Street;Dry;Two-Way, Divided, Unprotected Median;None;On or Off Ramp;Smooth Asphalt;Urban;40 - 45  MPH;No Control Present;Clear;No
Yes;40-49;41;With Traffic;B: Evident Injury;Travel Lane;White;Male;Durham;Durham;No;Wednesday;Motorist Overtaking Bicyclist;Non-Intersection;May;19:23;Motorist Overtaking - Misjudged Space;2007;B: Evident Injury;Commercial;40-49;41;No;41-45 mph;O: No Injury;White;Female;Van;No;No;Daylight;Urban (>70% Developed);2 lanes;2.0;Straight - Level;Local Street;Dry;Two-Way, Not Divided;None;No Special Feature;Coarse Asphalt;Urban;40 - 45  MPH;No Control Present;Clear;No
Yes;30-39;33;Facing Traffic;B: Evident Injury;Sidewalk / Crosswalk / Driveway Crossing;White;Male;Chapel Hill;Orange;No;Friday;Crossing Paths - Other Circumstances;Intersection;September;20:39;Signalized Intersection - Other / Unknown;2008;B: Evident Injury;Residential;30-39;31;No;Unknown;O: No Injury;White;Female;Passenger Car;No;No;Dark - Roadway Not Lighted;Urban (>70% Developed);5 lanes;2.0;Straight - Level;Local Street;Water (Standing, Moving);Two-Way, Divided, Unprotected Median;None;Four-Way Intersection;Smooth Asphalt;Urban;30 - 35  MPH;Stop And Go Signal;Rain;No
Yes;30-39;31;With Traffic;B: Evident Injury;Travel Lane;White;Male;Carrboro;Orange;No;Tuesday;Bicyclist Overtaking Motorist;Non-Intersection;March;12:28;Bicyclist Overtaking - Parked Vehicle;2011;B: Evident Injury;Residential;Unknown;Unknown;Missing;Unknown;Unknown Injury;Unknown/Missing;Unknown;Commercial Bus;No;No;Daylight;Urban (>70% Developed);2 lanes;2.0;Straight - Level;State Secondary Route;Dry;Two-Way, Not Divided;None;No Special Feature;Smooth Asphalt;Urban;30 - 35  MPH;Double Yellow Line, No Passing Zone;Clear;No
Yes;11-15;13;Facing Traffic;C: Possible Injury;Travel Lane;White;Male;Durham;Durham;No;Monday;Head-On;Intersection;October;15:18;Head-On - Bicyclist;2012;C: Possible Injury;Residential;70;70;No;31-35 mph;O: No Injury;White;Male;Sport Utility;No;No;Daylight;Urban (>70% Developed);2 lanes;2.0;Straight - Level;Local Street;Dry;Two-Way, Divided, Unprotected Median;None;No Special Feature;Smooth Asphalt;Urban;30 - 35  MPH;Stop Sign;Cloudy;No
Yes;40-49;48;Facing Traffic;C: Possible Injury;Sidewalk / Crosswalk / Driveway Crossing;White;Male;Chapel Hill;Orange;No;Friday;Bicyclist Failed to Yield - Signalized Intersection;Intersection;April;16:02;Bicyclist Ride Out - Signalized  Intersection;2011;C: Possible Injury;Commercial;40-49;43;No;0-5 mph;O: No Injury;White;Female;Van;No;No;Daylight;Urban (>70% Developed);5 lanes;2.0;Straight - Level;NC Route;Wet;Two-Way, Divided, Unprotected Median;None;Four-Way Intersection;Smooth Asphalt;Urban;30 - 35  MPH;Stop And Go Signal;Rain;No
Yes;30-39;33;With Traffic;B: Evident Injury;Travel Lane;Hispanic;Male;Durham;Durham;No;Tuesday;Bicyclist Left Turn / Merge;Non-Intersection;July;15:18;Bicyclist Left Turn - Same Direction;2008;B: Evident Injury;Commercial;50-59;58;No;31-35 mph;O: No Injury;White;Male;Pickup;No;No;Daylight;Urban (>70% Developed);2 lanes;2.0;Straight - Level;Local Street;Dry;Two-Way, Not Divided;None;No Special Feature;Coarse Asphalt;Urban;30 - 35  MPH;No Control Present;Clear;No
Yes;16-19;18;With Traffic;B: Evident Injury;Unknown;White;Male;Chapel Hill;Orange;No;Saturday;Bicyclist Failed to Yield - Signalized Intersection;Intersection;September;14:17;Bicyclist Ride Out - Signalized  Intersection;2007;B: Evident Injury;Commercial;60-69;68;No;0-5 mph;O: No Injury;White;Female;Passenger Car;No;No;Daylight;Urban (>70% Developed);9 or more lanes;2.0;Straight - Level;Local Street;Dry;Two-Way, Not Divided;None;Four-Way Intersection;Smooth Asphalt;Urban;30 - 35  MPH;Stop And Go Signal;Clear;No
No;40-49;43;With Traffic;B: Evident Injury;Travel Lane;White;Male;Chapel Hill;Orange;No;Monday;Motorist Right Turn / Merge;Intersection;February;13:27;Motorist Right Turn - Same Direction;2008;B: Evident Injury;Residential;0-19;19;No;26-30 mph;O: No Injury;White;Male;Passenger Car;No;No;Daylight;Urban (>70% Developed);2 lanes;2.0;Curve - Grade;Local Street;Dry;Two-Way, Not Divided;None;T-Intersection;Smooth Asphalt;Urban;30 - 35  MPH;Stop Sign;Clear;No
No;60-69;64;With Traffic;C: Possible Injury;Bike Lane / Paved Shoulder;White;Male;None - Rural Crash;Orange;No;Tuesday;Loss of Control / Turning Error;Non-Intersection;June;9:13;Motorist Lost Control - Other / Unknown;2009;C: Possible Injury;Farms, Woods, Pastures;Unknown;Unknown;No;36-40 mph;Unknown Injury;Unknown/Missing;Unknown;Unknown;No;Yes;Daylight;Rural (<30% Developed);2 lanes;2.0;Straight - Level;NC Route;Dry;Two-Way, Not Divided;None;No Special Feature;Smooth Asphalt;Rural;40 - 45  MPH;Double Yellow Line, No Passing Zone;Clear;No
Yes;20-24;23;With Traffic;B: Evident Injury;Bike Lane / Paved Shoulder;White;Female;Chapel Hill;Orange;No;Sunday;Motorist Right Turn / Merge;Intersection;October;20:06;Motorist Right Turn - Same Direction;2011;B: Evident Injury;Residential;20-24;21;No;0-5 mph;O: No Injury;White;Female;Passenger Car;No;No;Dark - Lighted Roadway;Urban (>70% Developed);2 lanes;2.0;Straight - Level;Local Street;Dry;Two-Way, Not Divided;None;T-Intersection;Smooth Asphalt;Urban;30 - 35  MPH;No Control Present;Clear;No
Yes;40-49;48;With Traffic;Unknown Injury;Travel Lane;White;Male;Chapel Hill;Orange;No;Wednesday;Motorist Right Turn / Merge;Intersection;February;17:22;Motorist Right Turn - Same Direction;2011;O: No Injury;Commercial;25-29;28;No;0-5 mph;O: No Injury;White;Male;Van;No;No;Daylight;Urban (>70% Developed);2 lanes;2.0;Straight - Level;Local Street;Dry;Two-Way, Not Divided;None;Four-Way Intersection;Smooth Asphalt;Urban;20 - 25  MPH;Stop And Go Signal;Clear;No
Yes;16-19;16;With Traffic;C: Possible Injury;Travel Lane;White;Male;Durham;Durham;No;Saturday;Motorist Overtaking Bicyclist;Non-Intersection;June;12:09;Motorist Overtaking - Other / Unknown;2012;C: Possible Injury;Residential;Unknown;Unknown;Missing;0-5 mph;Unknown Injury;Unknown/Missing;Unknown;Unknown Heavy Truck;No;Yes;Daylight;Urban (>70% Developed);2 lanes;2.0;Straight - Level;Local Street;Dry;One-Way, Not Divided;None;No Special Feature;Smooth Asphalt;Urban;30 - 35  MPH;No Control Present;Clear;No
Yes;20-24;21;Unknown;B: Evident Injury;Multi-use Path;White;Male;Chapel Hill;Orange;No;Tuesday;Non-Roadway;Non-Roadway;December;18:48;Non-Roadway;2007;B: Evident Injury;Institutional;30-39;38;No;6-10 mph;O: No Injury;Asian;Male;Passenger Car;No;No;Dark - Lighted Roadway;Urban (>70% Developed);1 lane;2.0;Straight - Grade;Public Vehicular Area;Dry;One-Way, Not Divided;None;No Special Feature;Coarse Asphalt;Urban;5 - 15 MPH;No Control Present;Clear;No
No;30-39;37;With Traffic;B: Evident Injury;Travel Lane;White;Male;None - Rural Crash;Durham;No;Friday;Motorist Failed to Yield - Sign-Controlled Intersection;Intersection;August;18:00;Motorist Drive Out - Sign-Controlled Intersection;2010;B: Evident Injury;Farms, Woods, Pastures;70;70;No;0-5 mph;O: No Injury;White;Male;Sport Utility;No;No;Daylight;Rural (<30% Developed);2 lanes;2.0;Curve - Grade;State Secondary Route;Dry;Two-Way, Not Divided;None;Four-Way Intersection;Coarse Asphalt;Rural;40 - 45  MPH;Stop Sign;Clear;No
Yes;50-59;53;With Traffic;B: Evident Injury;Travel Lane;White;Male;None - Rural Crash;Durham;No;Wednesday;Other / Unusual Circumstances;Non-Intersection;August;17:41;Motorist Intentionally Caused;2009;B: Evident Injury;Residential;20-24;22;No;41-45 mph;O: No Injury;Black;Male;Passenger Car;No;Yes;Daylight;Mixed (30% To 70% Developed);2 lanes;2.0;Straight - Level;State Secondary Route;Dry;Two-Way, Not Divided;None;No Special Feature;Smooth Asphalt;Rural;40 - 45  MPH;Double Yellow Line, No Passing Zone;Clear;No
Yes;11-15;12;With Traffic;C: Possible Injury;Sidewalk / Crosswalk / Driveway Crossing;Black;Male;Chapel Hill;Orange;No;Wednesday;Bicyclist Failed to Yield - Signalized Intersection;Intersection;September;17:16;Bicyclist Failed to Clear - Trapped;2008;C: Possible Injury;Commercial;20-24;22;No;0-5 mph;O: No Injury;White;Female;Passenger Car;No;No;Daylight;Urban (>70% Developed);4 lanes;2.0;Straight - Level;Local Street;Dry;Two-Way, Divided, Unprotected Median;None;Four-Way Intersection;Smooth Asphalt;Urban;30 - 35  MPH;Stop And Go Signal;Clear;No
Yes;25-29;27;With Traffic;B: Evident Injury;Bike Lane / Paved Shoulder;White;Female;Carrboro;Orange;No;Thursday;Motorist Overtaking Bicyclist;Non-Intersection;August;22:06;Motorist Overtaking - Other / Unknown;2013;B: Evident Injury;Residential;Unknown;Unknown;Missing;31-35 mph;Unknown Injury;Unknown/Missing;Unknown;Unknown;No;Yes;Dark - Lighted Roadway;Mixed (30% To 70% Developed);2 lanes;2.0;Straight - Level;Local Street;Dry;Two-Way, Not Divided;None;No Special Feature;Smooth Asphalt;Urban;30 - 35  MPH;No Control Present;Clear;No
Yes;30-39;33;With Traffic;C: Possible Injury;Travel Lane;White;Female;None - Rural Crash;Orange;No;Thursday;Motorist Overtaking Bicyclist;Non-Intersection;September;13:43;Motorist Overtaking - Other / Unknown;2008;C: Possible Injury;Farms, Woods, Pastures;50-59;53;No;41-45 mph;O: No Injury;White;Male;Pickup;No;No;Daylight;Rural (<30% Developed);2 lanes;2.0;Curve - Grade;State Secondary Route;Dry;Two-Way, Not Divided;None;No Special Feature;Smooth Asphalt;Rural;40 - 45  MPH;Double Yellow Line, No Passing Zone;Clear;No
Yes;20-24;21;With Traffic;B: Evident Injury;Travel Lane;White;Female;Chapel Hill;Orange;Yes;Thursday;Motorist Failed to Yield - Signalized Intersection;Intersection;August;16:15;Motorist Drive Through - Signalized Intersection;2009;B: Evident Injury;Institutional;20-24;22;Yes;11-15 mph;O: No Injury;White;Male;Passenger Car;No;No;Daylight;Urban (>70% Developed);Unknown;2.0;Straight - Grade;Local Street;Dry;One-Way, Not Divided;None;No Special Feature;Coarse Asphalt;Urban;20 - 25  MPH;Stop And Go Signal;Clear;No
No;16-19;16;Facing Traffic;C: Possible Injury;Sidewalk / Crosswalk / Driveway Crossing;Black;Male;Chapel Hill;Orange;No;Tuesday;Motorist Failed to Yield - Midblock;Non-Intersection;July;15:00;Motorist Drive Out - Commercial Driveway / Alley;2011;C: Possible Injury;Commercial;0-19;19;No;0-5 mph;O: No Injury;White;Female;Passenger Car;No;No;Daylight;Urban (>70% Developed);Unknown;2.0;Straight - Level;Public Vehicular Area;Dry;Two-Way, Not Divided;None;Driveway, Private;Smooth Asphalt;Urban;5 - 15 MPH;No Control Present;Clear;No
Yes;20-24;23;With Traffic;A: Disabling Injury;Travel Lane;White;Female;None - Rural Crash;Orange;No;Thursday;Motorist Right Turn / Merge;Intersection;April;17:26;Motorist Right Turn - Same Direction;2011;A: Disabling Injury;Farms, Woods, Pastures;25-29;25;No;41-45 mph;O: No Injury;Black;Female;Passenger Car;No;No;Daylight;Rural (<30% Developed);2 lanes;2.0;Straight - Grade;State Secondary Route;Dry;Two-Way, Not Divided;None;T-Intersection;Smooth Asphalt;Rural;50 - 55  MPH;Double Yellow Line, No Passing Zone;Clear;No
No;16-19;19;With Traffic;B: Evident Injury;Travel Lane;White;Female;Chapel Hill;Orange;No;Saturday;Motorist Right Turn / Merge;Intersection;September;21:24;Motorist Right Turn - Same Direction;2010;B: Evident Injury;Residential;Unknown;Unknown;Missing;Unknown;Unknown Injury;Unknown/Missing;Unknown;Passenger Car;No;Yes;Dark - Lighted Roadway;Urban (>70% Developed);4 lanes;2.0;Straight - Level;Local Street;Dry;Two-Way, Not Divided;None;T-Intersection;Smooth Asphalt;Urban;Unknown;No Control Present;Clear;No
Yes;25-29;27;With Traffic;C: Possible Injury;Travel Lane;White;Male;Chapel Hill;Orange;No;Saturday;Bicyclist Overtaking Motorist;Intersection-Related;February;12:07;Bicyclist Overtaking - Passing on Right;2009;C: Possible Injury;Institutional;20-24;22;No;0-5 mph;O: No Injury;White;Female;Passenger Car;No;No;Daylight;Urban (>70% Developed);2 lanes;2.0;Curve - Grade;Local Street;Dry;Two-Way, Divided, Unprotected Median;None;No Special Feature;Smooth Asphalt;Urban;20 - 25  MPH;Double Yellow Line, No Passing Zone;Clear;No
Yes;6-10;10;Not Applicable;B: Evident Injury;Driveway / Alley;White;Male;None - Rural Crash;Chatham;No;Tuesday;Bicyclist Failed to Yield - Midblock;Non-Intersection;April;17:18;Bicyclist Ride Out - Residential Driveway;2007;B: Evident Injury;Farms, Woods, Pastures;25-29;26;No;11-15 mph;O: No Injury;White;Male;Passenger Car;No;No;Daylight;Rural (<30% Developed);2 lanes;2.0;Straight - Level;State Secondary Route;Dry;Two-Way, Not Divided;None;Driveway, Private;Coarse Asphalt;Rural;30 - 35  MPH;No Control Present;Clear;No
No;25-29;26;With Traffic;C: Possible Injury;Travel Lane;White;Male;Chapel Hill;Orange;No;Sunday;Motorist Overtaking Bicyclist;Non-Intersection;April;3:20;Motorist Overtaking - Undetected Bicyclist;2008;C: Possible Injury;Commercial;30-39;34;No;36-40 mph;O: No Injury;White;Male;Passenger Car;No;No;Dark - Roadway Not Lighted;Urban (>70% Developed);4 lanes;2.0;Straight - Level;US Route;Wet;Two-Way, Divided, Unprotected Median;None;No Special Feature;Coarse Asphalt;Urban;40 - 45  MPH;No Control Present;Rain;No
No;30-39;35;Not Applicable;C: Possible Injury;Travel Lane;Hispanic;Male;None - Rural Crash;Orange;No;Friday;Non-Roadway;Non-Roadway;August;18:06;Non-Roadway;2009;C: Possible Injury;Residential;Unknown;Unknown;Missing;11-15 mph;Unknown Injury;Unknown/Missing;Unknown;Pickup;No;No;Dusk;Mixed (30% To 70% Developed);2 lanes;3.0;Straight - Level;Private Road, Driveway;Dry;Two-Way, Not Divided;None;Driveway, Private;Gravel;Rural;5 - 15 MPH;No Control Present;Cloudy;No
No;30-39;32;With Traffic;O: No Injury;Travel Lane;Black;Male;Carrboro;Orange;No;Wednesday;Bicyclist Overtaking Motorist;Non-Intersection;August;18:04;Bicyclist Overtaking - Parked Vehicle;2013;O: No Injury;Residential;Unknown;Unknown;Missing;Unknown;Unknown Injury;Unknown/Missing;Unknown;Passenger Car;No;No;Daylight;Urban (>70% Developed);2 lanes;2.0;Straight - Level;Local Street;Dry;Two-Way, Not Divided;None;No Special Feature;Smooth Asphalt;Urban;20 - 25  MPH;No Control Present;Clear;No
